Species A,Gene A,Species B,Gene B,Score
Homo sapiens,PSMD7,Homo sapiens,ADRM1,2.41
Homo sapiens,UCHL5,Homo sapiens,ADRM1,4.18
Homo sapiens,USP14,Homo sapiens,ADRM1,3.41
Homo sapiens,CCDC74B,Homo sapiens,ADRM1,0.944643886
Homo sapiens,PSMD7,Homo sapiens,ADRM1,0.998956393
Homo sapiens,UCHL5,Homo sapiens,ADRM1,0.999999911
Homo sapiens,CCDC92,Homo sapiens,ADRM1,0.999931264
Homo sapiens,ADRM1,Homo sapiens,PSMD1,0.997331127
Homo sapiens,ADRM1,Homo sapiens,PSMD13,0.999252879
Homo sapiens,ADRM1,Homo sapiens,PSMD3,0.868329322
Homo sapiens,ADRM1,Homo sapiens,PSMD11,0.998327561
Homo sapiens,ADRM1,Homo sapiens,PSMC6,0.998617967
Homo sapiens,ADRM1,Homo sapiens,PSMC3,0.994142626
Homo sapiens,ADRM1,Homo sapiens,PSMC4,0.988301791
Homo sapiens,ADRM1,Homo sapiens,PSMC1,0.990824884
Homo sapiens,ADRM1,Homo sapiens,PSMC5,0.995937187
Homo sapiens,ADRM1,Homo sapiens,PSMD2,0.903158988
Homo sapiens,ADRM1,Homo sapiens,PSMD10,0.999945469
Homo sapiens,ADRM1,Homo sapiens,PSMD14,0.994159393
Homo sapiens,ADRM1,Homo sapiens,PSMC2,0.858031726
Homo sapiens,ADRM1,Homo sapiens,PSMD8,0.985230673
Homo sapiens,ADRM1,Homo sapiens,PSMD12,0.999506849
Homo sapiens,ADRM1,Homo sapiens,PSMD6,0.998246158
Homo sapiens,ADRM1,Homo sapiens,PIPSL,0.999764328
Homo sapiens,ADRM1,Homo sapiens,PSMD4,0.994527926
Homo sapiens,ADRM1,Homo sapiens,PAAF1,0.758711788
Homo sapiens,ADRM1,Homo sapiens,BAG1,0.954652874
Homo sapiens,PSMA7,Homo sapiens,ADRM1,0.486584864
Homo sapiens,PSMB1,Homo sapiens,ADRM1,0.31691479
Homo sapiens,PSMB7,Homo sapiens,ADRM1,0.133749341
Homo sapiens,PSMC2,Homo sapiens,ADRM1,0.363987083
Homo sapiens,PSMC3,Homo sapiens,ADRM1,0.926251102
Homo sapiens,PSMC4,Homo sapiens,ADRM1,0.901958206
Homo sapiens,PSMC5,Homo sapiens,ADRM1,0.636950423
Homo sapiens,PSMD1,Homo sapiens,ADRM1,1.0
Homo sapiens,PSMD11,Homo sapiens,ADRM1,0.244278531
Homo sapiens,PSMD14,Homo sapiens,ADRM1,0.569014959
Homo sapiens,PSMD3,Homo sapiens,ADRM1,0.1566722
Homo sapiens,UCHL5,Homo sapiens,ADRM1,0.968090374
Homo sapiens,ADRM1,Homo sapiens,PSMA1,0.864368683
Homo sapiens,ADRM1,Homo sapiens,PSMA2,0.144835772
Homo sapiens,ADRM1,Homo sapiens,PSMA3,0.249637346
Homo sapiens,ADRM1,Homo sapiens,PSMA4,0.647476611
Homo sapiens,ADRM1,Homo sapiens,PSMA5,0.602149226
Homo sapiens,ADRM1,Homo sapiens,PSMB2,0.595652551
Homo sapiens,ADRM1,Homo sapiens,PSMB3,0.397830798
Homo sapiens,ADRM1,Homo sapiens,PSMB4,0.412810888
Homo sapiens,ADRM1,Homo sapiens,PSMB5,0.209863363
Homo sapiens,ADRM1,Homo sapiens,PSMB6,0.423841763
Homo sapiens,ADRM1,Homo sapiens,PSMB8,0.193100624
Homo sapiens,ADRM1,Homo sapiens,PSMC1,0.801977341
Homo sapiens,ADRM1,Homo sapiens,PSMC6,0.490686292
Homo sapiens,ADRM1,Homo sapiens,PSMD12,0.131738207
Homo sapiens,ADRM1,Homo sapiens,PSMD13,0.346242395
Homo sapiens,ADRM1,Homo sapiens,PSMD2,0.651206999
Homo sapiens,ADRM1,Homo sapiens,PSMD6,0.323289002
Homo sapiens,UCHL5,Homo sapiens,ADRM1,0.999999778
Homo sapiens,CCDC92,Homo sapiens,ADRM1,0.999972323
Homo sapiens,ADRM1,Homo sapiens,PSMD12,0.999884102
Homo sapiens,ADRM1,Homo sapiens,PSMD10,0.999724386
Homo sapiens,PSMD7,Homo sapiens,ADRM1,0.999722298
Homo sapiens,PSMC5,Homo sapiens,ADRM1,0.999703155
Homo sapiens,ADRM1,Homo sapiens,PIPSL,0.999361849
Homo sapiens,ADRM1,Homo sapiens,PSMD4,0.999024756
Homo sapiens,ADRM1,Homo sapiens,PSMC4,0.998691864
Homo sapiens,ADRM1,Homo sapiens,PSMD13,0.998644219
Homo sapiens,ADRM1,Homo sapiens,PSMD14,0.998458053
Homo sapiens,ADRM1,Homo sapiens,PSMD1,0.998208126
Homo sapiens,ADRM1,Homo sapiens,PSMD11,0.997476829
Homo sapiens,ADRM1,Homo sapiens,PSMC1,0.997075236
Homo sapiens,ADRM1,Homo sapiens,PSMC6,0.996318007
Homo sapiens,ADRM1,Homo sapiens,PSMD6,0.994809692
Homo sapiens,ADRM1,Homo sapiens,PSMC3,0.992536004
Homo sapiens,ADRM1,Homo sapiens,PSMC2,0.971564948
Homo sapiens,ADRM1,Homo sapiens,PSMD3,0.952705399
Homo sapiens,CCDC74B,Homo sapiens,ADRM1,0.947939871
Homo sapiens,ADRM1,Homo sapiens,PSMD8,0.947154092
Homo sapiens,ADRM1,Homo sapiens,PSMD2,0.934313134
Homo sapiens,PSMD5,Homo sapiens,ADRM1,0.903075181
Homo sapiens,ADRM1,Homo sapiens,BAG1,0.885924297
Homo sapiens,DLD,Homo sapiens,ADRM1,0.000731595
Homo sapiens,SOD1,Homo sapiens,ADRM1,0.000598026
Homo sapiens,ADRM1,Homo sapiens,PSMD14,0.970816052
Homo sapiens,ADRM1,Homo sapiens,PSMD8,0.954814443
Homo sapiens,ADRM1,Homo sapiens,PSMD11,0.990332839
Homo sapiens,PSMC5,Homo sapiens,ADRM1,0.999477464
Homo sapiens,ADRM1,Homo sapiens,PSMC3,0.995414401
Homo sapiens,ADRM1,Homo sapiens,PSMC1,0.995325273
Homo sapiens,ADRM1,Homo sapiens,PSMC2,0.964328005
Homo sapiens,ADRM1,Homo sapiens,PSMC6,0.988404893
Homo sapiens,ADRM1,Homo sapiens,PSMD1,0.981125517
Homo sapiens,ADRM1,Homo sapiens,PSMC4,0.999178602
Homo sapiens,ADRM1,Homo sapiens,PSMD3,0.949360457
Homo sapiens,ADRM1,Homo sapiens,PSMD6,0.976502008
Homo sapiens,CCDC92,Homo sapiens,ADRM1,0.999984266
Homo sapiens,PSMD10,Homo sapiens,ADRM1,0.99954288
Homo sapiens,ADRM1,Homo sapiens,PSMD2,0.999547691
Homo sapiens,TMEM31,Homo sapiens,ADRM1,0.912157872
Homo sapiens,PSMD7,Homo sapiens,ADRM1,0.999311504
Homo sapiens,PSMD4,Homo sapiens,ADRM1,0.995918509
Homo sapiens,UCHL5,Homo sapiens,ADRM1,0.999999376
Homo sapiens,PSMD13,Homo sapiens,ADRM1,0.999943624
Homo sapiens,PSMD5,Homo sapiens,ADRM1,0.934222144
Homo sapiens,CCDC74B,Homo sapiens,ADRM1,0.948289057
Homo sapiens,ADRM1,Homo sapiens,PSMD12,0.999759619
Homo sapiens,CCDC74A,Homo sapiens,ADRM1,0.978569384
Homo sapiens,ADRM1,Homo sapiens,PIPSL,0.994456395
Homo sapiens,ADRM1,Homo sapiens,RPA4,0.997976095
Homo sapiens,PSMC4,Homo sapiens,ADRM1,0.99631396
Homo sapiens,ADRM1,Homo sapiens,PAAF1,0.999890695
Homo sapiens,ADRM1,Homo sapiens,INSL3,0.999998664
Homo sapiens,PSMC3,Homo sapiens,ADRM1,0.981254057
Homo sapiens,ADRM1,Homo sapiens,PSMD5,0.998945848
Homo sapiens,ADRM1,Homo sapiens,POTEF,0.891535826
Homo sapiens,PSMD12,Homo sapiens,ADRM1,0.999828127
Homo sapiens,CCNF,Homo sapiens,ADRM1,100.0
Homo sapiens,CCNF,Homo sapiens,ADRM1,8.837
Homo sapiens,PHKG2,Homo sapiens,ADRM1,0.618550219
Homo sapiens,RNF130,Homo sapiens,ADRM1,13.28
Homo sapiens,SLC10A5,Homo sapiens,ADRM1,0.9224644
Homo sapiens,SLC30A1,Homo sapiens,ADRM1,0.487093721
Homo sapiens,SLC9C1,Homo sapiens,ADRM1,0.631195665
Homo sapiens,NELFCD,Homo sapiens,COX5A,0.38
Homo sapiens,COX5A,Homo sapiens,COPS6,2.0
Homo sapiens,COX5A,Homo sapiens,COX5B,0.832
Homo sapiens,COX5A,Homo sapiens,UQCRB,0.769
Homo sapiens,COX5A,Homo sapiens,HNRNPA0,0.843
Homo sapiens,COX5A,Homo sapiens,DAP3,0.821
Homo sapiens,COX5A,Homo sapiens,SLC38A2,0.812
Homo sapiens,COX5A,Homo sapiens,RAB8A,0.791
Homo sapiens,ATP5D,Homo sapiens,COX5A,0.39247821
Homo sapiens,COX4I1,Homo sapiens,COX5A,0.158737551
Homo sapiens,COX6B1,Homo sapiens,COX5A,0.234989559
Homo sapiens,NDUFV1,Homo sapiens,COX5A,0.07344204
Homo sapiens,NONO,Homo sapiens,COX5A,0.093167821
Homo sapiens,OGDH,Homo sapiens,COX5A,0.101857878
Homo sapiens,PDHB,Homo sapiens,COX5A,0.080517942
Homo sapiens,PSMD11,Homo sapiens,COX5A,0.088382057
Homo sapiens,SFPQ,Homo sapiens,COX5A,0.129489052
Homo sapiens,TIMM9,Homo sapiens,COX5A,0.071058983
Homo sapiens,TPM1,Homo sapiens,COX5A,0.151763963
Homo sapiens,TPM3,Homo sapiens,COX5A,0.134722245
Homo sapiens,TPM4,Homo sapiens,COX5A,0.150652333
Homo sapiens,UQCRB,Homo sapiens,COX5A,0.306385263
Homo sapiens,VDAC3,Homo sapiens,COX5A,0.074225628
Homo sapiens,YBX1,Homo sapiens,COX5A,0.103029791
Homo sapiens,YBX3,Homo sapiens,COX5A,0.07366806
Homo sapiens,COX5A,Homo sapiens,CYC1,0.281655332
