Source,Target,combined_score
APP,GRN,0.601
APP,TARDBP,0.881
APP,FUS,0.603
APP,CHMP2B,0.491
APP,SOD1,0.802
APP,VCP,0.652
APP,C9orf72,0.749
APP,SNCA,0.993
APP,MAPT,0.995
APP,PSEN1,0.999
C9orf72,GRN,0.887
C9orf72,TARDBP,0.943
C9orf72,FUS,0.929
C9orf72,CHMP2B,0.848
C9orf72,SOD1,0.897
C9orf72,PSEN1,0.646
C9orf72,MAPT,0.851
C9orf72,VCP,0.856
C9orf72,SNCA,0.668
CHMP2B,GRN,0.823
CHMP2B,TARDBP,0.852
CHMP2B,FUS,0.78
CHMP2B,SNCA,0.479
CHMP2B,PSEN1,0.57
CHMP2B,SOD1,0.64
CHMP2B,MAPT,0.745
CHMP2B,VCP,0.858
CHMP2B,RNF103-CHMP3,0.906
FUS,GRN,0.7
FUS,TARDBP,0.999
FUS,PSEN1,0.555
FUS,SNCA,0.698
FUS,VCP,0.832
FUS,MAPT,0.918
FUS,SOD1,0.992
GRN,SOD1,0.548
GRN,PSEN1,0.649
GRN,SNCA,0.675
GRN,VCP,0.762
GRN,MAPT,0.885
GRN,TARDBP,0.958
MAPT,TARDBP,0.97
MAPT,SOD1,0.642
MAPT,PSEN1,0.95
MAPT,VCP,0.713
MAPT,SNCA,0.994
PSEN1,TARDBP,0.702
PSEN1,SOD1,0.572
PSEN1,VCP,0.489
PSEN1,SNCA,0.865
RNF103-CHMP3,VCP,0.447
SNCA,TARDBP,0.994
SNCA,SOD1,0.897
SNCA,VCP,0.513
SOD1,TARDBP,0.989
SOD1,VCP,0.772
TARDBP,VCP,0.964
APP,TUBA4A,0.486
APP,SORL1,0.999
APP,HNRNPA2B1,0.507
APP,SQSTM1,0.522
APP,HNRNPA1,0.538
APP,UBQLN2,0.606
APP,PSEN2,0.969
C9orf72,TUBA4A,0.57
C9orf72,TBK1,0.881
C9orf72,HNRNPA1,0.808
C9orf72,UBQLN2,0.871
C9orf72,HNRNPA2B1,0.623
C9orf72,DCTN1,0.687
C9orf72,PSEN2,0.633
C9orf72,SQSTM1,0.82
C9orf72,CCNF,0.532
C9orf72,CHCHD10,0.72
C9orf72,TIA1,0.578
CCNF,TARDBP,0.818
CCNF,TUBA4A,0.511
CCNF,TBK1,0.474
CCNF,UBQLN2,0.665
CCNF,VCP,0.759
CCNF,SQSTM1,0.701
CCNF,CHCHD10,0.621
CHCHD10,TARDBP,0.715
CHCHD10,TUBA4A,0.623
CHCHD10,CHMP2B,0.645
CHCHD10,TBK1,0.608
CHCHD10,MAPT,0.472
CHCHD10,HNRNPA1,0.507
CHCHD10,UBQLN2,0.706
CHCHD10,VCP,0.714
CHCHD10,DCTN1,0.601
CHCHD10,SQSTM1,0.615
CHCHD10,TIA1,0.425
CHMP2B,TUBA4A,0.705
CHMP2B,HNRNPA2B1,0.441
CHMP2B,HNRNPA1,0.483
CHMP2B,PSEN2,0.56
CHMP2B,DCTN1,0.654
CHMP2B,TBK1,0.727
CHMP2B,UBQLN2,0.775
CHMP2B,SQSTM1,0.778
DCTN1,GRN,0.414
DCTN1,TARDBP,0.791
DCTN1,TUBA4A,0.6
DCTN1,TBK1,0.456
DCTN1,MAPT,0.817
