Source,Target,combined_score,from_ALS,from_FTD
APP,GRN,0.601,NO,YES
APP,TARDBP,0.881,NO,YES
APP,FUS,0.603,NO,YES
APP,CHMP2B,0.491,NO,YES
APP,SOD1,0.802,NO,YES
APP,VCP,0.652,NO,YES
APP,C9orf72,0.749,NO,YES
APP,SNCA,0.993,NO,YES
APP,MAPT,0.995,NO,YES
APP,PSEN1,0.999,NO,YES
C9orf72,GRN,0.887,NO,YES
C9orf72,TARDBP,0.943,NO,YES
C9orf72,FUS,0.929,NO,YES
C9orf72,CHMP2B,0.848,NO,YES
C9orf72,SOD1,0.897,NO,YES
C9orf72,APP,0.749,NO,YES
C9orf72,PSEN1,0.646,NO,YES
C9orf72,MAPT,0.851,NO,YES
C9orf72,VCP,0.856,NO,YES
C9orf72,SNCA,0.668,NO,YES
CHMP2B,GRN,0.823,NO,YES
CHMP2B,TARDBP,0.852,NO,YES
CHMP2B,FUS,0.78,NO,YES
CHMP2B,SNCA,0.479,NO,YES
CHMP2B,APP,0.491,NO,YES
CHMP2B,PSEN1,0.57,NO,YES
CHMP2B,SOD1,0.64,NO,YES
CHMP2B,MAPT,0.745,NO,YES
CHMP2B,C9orf72,0.848,NO,YES
CHMP2B,VCP,0.858,NO,YES
CHMP2B,RNF103-CHMP3,0.906,NO,YES
FUS,GRN,0.7,NO,YES
FUS,TARDBP,0.999,NO,YES
FUS,PSEN1,0.555,NO,YES
FUS,APP,0.603,NO,YES
FUS,SNCA,0.698,NO,YES
FUS,CHMP2B,0.78,NO,YES
FUS,VCP,0.832,NO,YES
FUS,MAPT,0.918,NO,YES
FUS,C9orf72,0.929,NO,YES
FUS,SOD1,0.992,NO,YES
GRN,SOD1,0.548,NO,YES
GRN,APP,0.601,NO,YES
GRN,PSEN1,0.649,NO,YES
GRN,SNCA,0.675,NO,YES
GRN,FUS,0.7,NO,YES
GRN,VCP,0.762,NO,YES
GRN,CHMP2B,0.823,NO,YES
GRN,MAPT,0.885,NO,YES
GRN,C9orf72,0.887,NO,YES
GRN,TARDBP,0.958,NO,YES
MAPT,GRN,0.885,NO,YES
MAPT,TARDBP,0.97,NO,YES
MAPT,FUS,0.918,NO,YES
MAPT,CHMP2B,0.745,NO,YES
MAPT,SOD1,0.642,NO,YES
MAPT,APP,0.995,NO,YES
MAPT,PSEN1,0.95,NO,YES
MAPT,VCP,0.713,NO,YES
MAPT,C9orf72,0.851,NO,YES
MAPT,SNCA,0.994,NO,YES
PSEN1,GRN,0.649,NO,YES
PSEN1,TARDBP,0.702,NO,YES
PSEN1,FUS,0.555,NO,YES
PSEN1,CHMP2B,0.57,NO,YES
PSEN1,SOD1,0.572,NO,YES
PSEN1,APP,0.999,NO,YES
PSEN1,VCP,0.489,NO,YES
PSEN1,C9orf72,0.646,NO,YES
PSEN1,SNCA,0.865,NO,YES
PSEN1,MAPT,0.95,NO,YES
RNF103-CHMP3,CHMP2B,0.906,NO,YES
RNF103-CHMP3,VCP,0.447,NO,YES
SNCA,GRN,0.675,NO,YES
SNCA,TARDBP,0.994,NO,YES
SNCA,FUS,0.698,NO,YES
SNCA,CHMP2B,0.479,NO,YES
SNCA,SOD1,0.897,NO,YES
SNCA,APP,0.993,NO,YES
SNCA,PSEN1,0.865,NO,YES
SNCA,MAPT,0.994,NO,YES
SNCA,VCP,0.513,NO,YES
SNCA,C9orf72,0.668,NO,YES
SOD1,GRN,0.548,NO,YES
SOD1,TARDBP,0.989,NO,YES
SOD1,FUS,0.992,NO,YES
SOD1,CHMP2B,0.64,NO,YES
