Source,Target,Score
GRN,SORT1,0.94
GRN,CCNT1,0.86
GRN,SLPI,0.88
GRN,MMP19,0.74
GRN,APOA1,0.86
GRN,GLRX3,0.71
GRN,MMP9,0.71
GRN,POLE2,0.74
GRN,SLC25A1,0.74
GRN,NLK,0.76
GRN,DNAJC10,0.77
GRN,TNFRSF1A,0.86
GRN,CS,0.74
GRN,HSPA5,0.74
GRN,CTSO,0.73
GRN,PDCD6,0.73
GRN,TNFRSF25,0.77
GRN,PSAP,0.81
GRN,LCE4A,0.86
GRN,DRG1,0.74
GRN,P4HB,0.73
GRN,C15ORF40,0.74
GRN,HNRNPU,0.71
GRN,ATG12,0.72
GRN,TPM3,0.85
GRN,ADAM15,0.7
GRN,HSPG2,0.93
GRN,EPHA2,0.77
CXORF56,GRN,0.74
TNFRSF1B,GRN,0.88
CHMP2B,VPS4A,0.93
CHMP2B,VPS25,0.95
CHMP2B,VPS4B,0.98
CHMP2B,CHMP4B,0.98
CHMP2B,CHMP5,0.88
TSG101,CHMP2B,0.95
CHMP2B,CHMP1B,0.97
CHMP2B,RNF103-CHMP3,0.93
CHMP2B,UBAP1L,0.84
CHMP2B,UBA52,0.81
CHMP2B,MVB12B,0.95
CHMP2B,HGS,0.95
CHMP2B,IST1,0.85
CHMP2B,VPS37D,0.95
CHMP2B,CHMP6,0.96
CHMP2B,UBB,0.81
CHMP2B,PDCD6IP,0.81
CHMP2B,MLKL,0.95
CHMP2B,VPS37C,0.95
CHMP2B,UBAP1,0.95
CHMP2B,CHMP4C,0.92
CHMP2B,LEMD2,0.81
CHMP2B,VPS28,0.95
CHMP2B,SNF8,0.95
CHMP2B,VPS37A,0.95
CHMP2B,CC2D1B,0.81
CHMP2B,UEVLD,0.84
CHMP2B,UBC,0.81
CHMP2B,CHMP7,0.96
CHMP2B,RPS27A,0.81
CHMP2B,MVB12A,0.95
CHMP2B,VPS37B,0.95
CHMP2B,STAM,0.95
CHMP2B,VPS36,0.95
CHMP2B,CHMP1A,0.97
CHMP2B,CHMP2A,0.98
CHMP2B,CHMP3,0.99
CHMP2B,STAM2,0.89
NEDD4L,CHMP2B,0.81
SPAST,CHMP2B,0.81
VTA1,CHMP2B,0.85
FUS,SAFB2,0.71
FUS,RALY,0.76
FUS,SRSF6,0.81
FUS,DDX39A,0.87
FUS,NAA50,0.76
FUS,TARDBP,0.99
FUS,FAM98A,0.73
FUS,CPSF3,0.73
FUS,SRSF9,0.85
FUS,NFKB1,0.71
FUS,DDX5,0.86
FUS,SF3A2,0.86
FUS,HNRNPL,0.87
FUS,RTCB,0.76
FUS,SNRPD3,0.75
FUS,MMP11,0.7
FUS,HIST1H4F,0.76
SPI1,FUS,0.84
MTREX,FUS,0.75
FUS,HNRNPA1,0.96
FUS,CAPRIN1,0.74
FUS,SYNCRIP,0.71
FUS,DHX30,0.74
FUS,DKC1,0.71
FUS,DGCR8,0.75
FUS,STEAP4,0.85
FUS,SMARCA4,0.9
FUS,HNRNPH2,0.77
FUS,PRMT1,0.9
FUS,HNRNPR,0.88
FUS,SNRPB,0.75
FUS,UPF3B,0.71
FUS,OPTN,0.88
FUS,HNRNPA2B1,0.98
FUS,KHDRBS1,0.76
FUS,ZMYM2,0.82
FUS,PSPC1,0.9
FUS,ARID1A,0.75
FUS,SRSF11,0.72
FUS,SFPQ,0.96
FUS,HDAC1,0.76
FUS,SRSF4,0.72
FUS,TIA1,0.71
FUS,SRSF7,0.81
FUS,SF3B1,0.75
FUS,DROSHA,0.98
FUS,HSPA9,0.72
FUS,SRSF3,0.87
FUS,ATP5F1B,0.87
FUS,DHX15,0.71
FUS,EFTUD2,0.71
FUS,HNRNPUL1,0.71
FUS,CTCF,0.85
FUS,HTATSF1,0.77
FUS,DICER1,0.9
FUS,SRSF5,0.77
FUS,EP300,0.88
FUS,DDX17,0.85
FUS,SMARCB1,0.77
FUS,HNRNPM,0.9
FUS,HNRNPC,0.94
FUS,PABPC4,0.75
FUS,TAF15,0.76
FUS,SRSF8,0.72
FUS,DDX3X,0.87
FUS,SARNP,0.85
FUS,ATXN2,0.87
FUS,CTR9,0.76
FUS,RPS26,0.74
FUS,MYO5A,0.71
FUS,PCBP2,0.76
FUS,MYO6,0.73
